Jahr 	Gebietsmittel 	Abweichung vom Mittel
2025 	15.04. 	-11 Tage
2024 	09.04. 	-17 Tage
2023 	28.04. 	2 Tage
2022 	22.04. 	-4 Tage
2021 	01.05. 	5 Tage
2020 	16.04. 	-10 Tage
2019 	19.04. 	-7 Tage
2018 	22.04. 	-4 Tage
2017 	20.04. 	-6 Tage
2016 	29.04. 	3 Tage
2015 	26.04. 	0 Tage
2014 	11.04. 	-15 Tage
2013 	05.05. 	9 Tage
2012 	26.04. 	0 Tage
2011 	19.04. 	-7 Tage
2010 	29.04. 	3 Tage
2009 	20.04. 	-6 Tage
2008 	28.04. 	2 Tage
2007 	18.04. 	-8 Tage
2006 	05.05. 	9 Tage
2005 	29.04. 	3 Tage
2004 	25.04. 	-1 Tag
2003 	28.04. 	2 Tage
2002 	22.04. 	-4 Tage
2001 	05.05. 	9 Tage
2000 	24.04. 	-2 Tage
1999 	27.04. 	1 Tag
1998 	24.04. 	-2 Tage
1997 	30.04. 	4 Tage
1996 	07.05. 	11 Tage
1995 	01.05. 	5 Tage
1994 	29.04. 	3 Tage
1993 	27.04. 	1 Tag
1992 	04.05. 	8 Tage
