Jahr 	Gebietsmittel 	Abweichung vom Mittel
2025 	21.03. 	-2 Tage
2024 	02.03. 	-21 Tage
2023 	15.03. 	-8 Tage
2022 	17.03. 	-6 Tage
2021 	25.03. 	2 Tage
2020 	08.03. 	-15 Tage
2019 	19.03. 	-4 Tage
2018 	03.04. 	11 Tage
2017 	23.03. 	0 Tage
2016 	29.03. 	6 Tage
2015 	27.03. 	4 Tage
2014 	11.03. 	-12 Tage
2013 	15.04. 	23 Tage
2012 	23.03. 	0 Tage
2011 	25.03. 	2 Tage
2010 	02.04. 	10 Tage
2009 	03.04. 	11 Tage
2008 	07.03. 	-16 Tage
2007 	16.03. 	-7 Tage
2006 	14.04. 	22 Tage
2005 	31.03. 	8 Tage
2004 	27.03. 	4 Tage
2003 	31.03. 	8 Tage
2002 	05.03. 	-18 Tage
2001 	29.03. 	6 Tage
