Jahr 	Gebietsmittel 	Abweichung vom Mittel
2025 	03.02. 	-5 Tage
2024 	24.01. 	-15 Tage
2023 	12.01. 	-27 Tage
2022 	23.01. 	-16 Tage
2021 	10.02. 	2 Tage
2020 	22.01. 	-17 Tage
2019 	05.02. 	-3 Tage
2018 	20.01. 	-19 Tage
2017 	21.02. 	13 Tage
2016 	22.01. 	-17 Tage
2015 	05.02. 	-3 Tage
2014 	24.01. 	-15 Tage
2013 	08.02. 	0 Tage
2012 	07.02. 	-1 Tag
2011 	13.02. 	5 Tage
2010 	12.03. 	32 Tage
2009 	02.03. 	22 Tage
2008 	27.01. 	-12 Tage
2007 	16.01. 	-23 Tage
2006 	17.03. 	37 Tage
2005 	24.02. 	16 Tage
2004 	07.02. 	-1 Tag
2003 	27.02. 	19 Tage
2002 	02.02. 	-6 Tage
2001 	05.02. 	-3 Tage
2000 	08.02. 	0 Tage
1999 	30.01. 	-9 Tage
1998 	31.01. 	-8 Tage
1997 	23.02. 	15 Tage
1996 	24.03. 	44 Tage
1995 	04.02. 	-4 Tage
1994 	02.02. 	-6 Tage
1993 	09.02. 	1 Tag
1992 	21.02. 	13 Tage
