Jahr 	Gebietsmittel 	Abweichung vom Mittel
2025 	12.03. 	-3 Tage
2024 	01.03. 	-14 Tage
2023 	11.03. 	-4 Tage
2022 	06.03. 	-9 Tage
2021 	12.03. 	-3 Tage
2020 	03.03. 	-12 Tage
2019 	10.03. 	-5 Tage
2018 	26.03. 	11 Tage
2017 	14.03. 	-1 Tag
2016 	13.03. 	-2 Tage
2015 	15.03. 	0 Tage
2014 	05.03. 	-10 Tage
2013 	03.04. 	19 Tage
2012 	16.03. 	1 Tag
2011 	17.03. 	2 Tage
2010 	26.03. 	11 Tage
2009 	22.03. 	7 Tage
2008 	28.02. 	-15 Tage
2007 	03.03. 	-12 Tage
2006 	04.04. 	20 Tage
2005 	25.03. 	10 Tage
2004 	16.03. 	1 Tag
2003 	20.03. 	5 Tage
2002 	05.03. 	-10 Tage
2001 	14.03. 	-1 Tag
2000 	12.03. 	-3 Tage
1999 	16.03. 	1 Tag
1998 	09.03. 	-6 Tage
1997 	10.03. 	-5 Tage
1996 	08.04. 	24 Tage
1995 	07.03. 	-8 Tage
1994 	13.03. 	-2 Tage
1993 	18.03. 	3 Tage
1992 	15.03. 	0 Tage
