Jahr 	Gebietsmittel 	Abweichung vom Mittel
2025 	02.04. 	-8 Tage
2024 	27.03. 	-14 Tage
2023 	03.04. 	-7 Tage
2022 	04.04. 	-6 Tage
2021 	08.04. 	-2 Tage
2020 	28.03. 	-13 Tage
2019 	02.04. 	-8 Tage
2018 	14.04. 	4 Tage
2017 	04.04. 	-6 Tage
2016 	06.04. 	-4 Tage
2015 	11.04. 	1 Tag
2014 	25.03. 	-16 Tage
2013 	22.04. 	12 Tage
2012 	09.04. 	-1 Tag
2011 	07.04. 	-3 Tage
2010 	16.04. 	6 Tage
2009 	11.04. 	1 Tag
2008 	11.04. 	1 Tag
2007 	01.04. 	-9 Tage
2006 	26.04. 	16 Tage
2005 	14.04. 	4 Tage
2004 	11.04. 	1 Tag
2003 	13.04. 	3 Tage
2002 	04.04. 	-6 Tage
2001 	18.04. 	8 Tage
2000 	11.04. 	1 Tag
1999 	11.04. 	1 Tag
1998 	10.04. 	0 Tage
1997 	11.04. 	1 Tag
1996 	26.04. 	16 Tage
1995 	15.04. 	5 Tage
1994 	18.04. 	8 Tage
1993 	18.04. 	8 Tage
1992 	18.04. 	8 Tage
