Jahr 	Gebietsmittel 	Abweichung vom Mittel
2025 	13.02. 	-3 Tage
2024 	07.02. 	-9 Tage
2023 	10.02. 	-6 Tage
2022 	07.02. 	-9 Tage
2021 	17.02. 	1 Tag
2020 	03.02. 	-13 Tage
2019 	14.02. 	-2 Tage
2018 	03.02. 	-13 Tage
2017 	21.02. 	5 Tage
2016 	08.02. 	-8 Tage
2015 	18.02. 	2 Tage
2014 	11.02. 	-5 Tage
2013 	28.02. 	12 Tage
2012 	22.02. 	6 Tage
2011 	18.02. 	2 Tage
2010 	06.03. 	18 Tage
2009 	26.02. 	10 Tage
2008 	01.02. 	-15 Tage
2007 	05.02. 	-11 Tage
2006 	13.03. 	25 Tage
2005 	01.03. 	13 Tage
2004 	12.02. 	-4 Tage
2003 	26.02. 	10 Tage
2002 	07.02. 	-9 Tage
2001 	07.02. 	-9 Tage
2000 	11.02. 	-5 Tage
1999 	11.02. 	-5 Tage
1998 	12.02. 	-4 Tage
1997 	22.02. 	6 Tage
1996 	17.03. 	29 Tage
1995 	09.02. 	-7 Tage
1994 	08.02. 	-8 Tage
1993 	19.02. 	3 Tage
1992 	24.02. 	8 Tage
