Jahr 	Gebietsmittel 	Abweichung vom Mittel
2025 	15.04. 	-9 Tage
2024 	07.04. 	-17 Tage
2023 	22.04. 	-2 Tage
2022 	20.04. 	-4 Tage
2021 	28.04. 	4 Tage
2020 	12.04. 	-12 Tage
2019 	18.04. 	-6 Tage
2018 	22.04. 	-2 Tage
2017 	20.04. 	-4 Tage
2016 	18.04. 	-6 Tage
2015 	24.04. 	0 Tage
2014 	07.04. 	-17 Tage
2013 	05.05. 	11 Tage
2012 	22.04. 	-2 Tage
2011 	21.04. 	-3 Tage
2010 	29.04. 	5 Tage
2009 	21.04. 	-3 Tage
2008 	26.04. 	2 Tage
2007 	11.04. 	-13 Tage
2006 	07.05. 	13 Tage
2005 	26.04. 	2 Tage
2004 	25.04. 	1 Tag
2003 	28.04. 	4 Tage
2002 	23.04. 	-1 Tag
2001 	01.05. 	7 Tage
2000 	23.04. 	-1 Tag
1999 	27.04. 	3 Tage
1998 	24.04. 	0 Tage
1997 	03.05. 	9 Tage
1996 	15.05. 	21 Tage
1995 	28.04. 	4 Tage
1994 	02.05. 	8 Tage
1993 	28.04. 	4 Tage
1992 	05.05. 	11 Tage
