Jahr 	Mittel 78 % 	Abweichung 78 % 	Mittel 100 % 	Abweichung 100 %
2025 	08.05. 	-5 Tage 	  	 
2024 	03.05. 	-10 Tage 	07.05. 	-9 Tage
2023 	17.05. 	4 Tage 	21.05. 	5 Tage
2022 	13.05. 	0 Tage 	16.05. 	0 Tage
2021 	22.05. 	9 Tage 	26.05. 	10 Tage
2020 	08.05. 	-5 Tage 	12.05. 	-4 Tage
2019 	08.05. 	-5 Tage 	12.05. 	-4 Tage
2018 	07.05. 	-6 Tage 	10.05. 	-6 Tage
2017 	14.05. 	1 Tag 	17.05. 	1 Tag
2016 	18.05. 	5 Tage 	21.05. 	5 Tage
2015 	14.05. 	1 Tag 	17.05. 	1 Tag
2014 	03.05. 	-10 Tage 	06.05. 	-10 Tage
2013 	22.05. 	9 Tage 	25.05. 	9 Tage
2012 	12.05. 	-1 Tag 	15.05. 	-1 Tag
2011 	05.05. 	-8 Tage 	09.05. 	-7 Tage
2010 	20.05. 	7 Tage 	24.05. 	8 Tage
2009 	06.05. 	-7 Tage 	09.05. 	-7 Tage
2008 	15.05. 	2 Tage 	18.05. 	2 Tage
2007 	04.05. 	-9 Tage 	07.05. 	-9 Tage
2006 	18.05. 	5 Tage 	21.05. 	5 Tage
2005 	13.05. 	0 Tage 	17.05. 	1 Tag
2004 	13.05. 	0 Tage 	16.05. 	0 Tage
2003 	11.05. 	-2 Tage 	14.05. 	-2 Tage
2002 	13.05. 	0 Tage 	16.05. 	0 Tage
2001 	17.05. 	4 Tage 	20.05. 	4 Tage
2000 	06.05. 	-7 Tage 	09.05. 	-7 Tage
1999 	12.05. 	-1 Tag 	15.05. 	-1 Tag
1998 	11.05. 	-2 Tage 	14.05. 	-2 Tage
1997 	15.05. 	2 Tage 	19.05. 	3 Tage
1996 	22.05. 	9 Tage 	26.05. 	10 Tage
1995 	16.05. 	3 Tage 	20.05. 	4 Tage
1994 	13.05. 	0 Tage 	16.05. 	0 Tage
1993 	08.05. 	-5 Tage 	10.05. 	-6 Tage
1992 	17.05. 	4 Tage 	20.05. 	4 Tage
