Jahr 	Mittel 74 % 	Abweichung 74 % 	Mittel 100 % 	Abweichung 100 %
2025 	17.05. 	-2 Tage 	  	 
2024 	08.05. 	-11 Tage 	12.05. 	-11 Tage
2023 	21.05. 	2 Tage 	25.05. 	2 Tage
2022 	17.05. 	-2 Tage 	20.05. 	-3 Tage
2021 	31.05. 	12 Tage 	03.06. 	11 Tage
2020 	12.05. 	-7 Tage 	17.05. 	-6 Tage
2019 	19.05. 	0 Tage 	24.05. 	1 Tag
2018 	12.05. 	-7 Tage 	16.05. 	-7 Tage
2017 	23.05. 	4 Tage 	26.05. 	3 Tage
2016 	20.05. 	1 Tag 	23.05. 	0 Tage
2015 	20.05. 	1 Tag 	24.05. 	1 Tag
2014 	09.05. 	-10 Tage 	13.05. 	-10 Tage
2013 	27.05. 	8 Tage 	01.06. 	9 Tage
2012 	17.05. 	-2 Tage 	20.05. 	-3 Tage
2011 	14.05. 	-5 Tage 	18.05. 	-5 Tage
2010 	30.05. 	11 Tage 	02.06. 	10 Tage
2009 	16.05. 	-3 Tage 	19.05. 	-4 Tage
2008 	19.05. 	0 Tage 	23.05. 	0 Tage
2007 	06.05. 	-13 Tage 	10.05. 	-13 Tage
2006 	27.05. 	8 Tage 	01.06. 	9 Tage
2005 	25.05. 	6 Tage 	28.05. 	5 Tage
2004 	21.05. 	2 Tage 	26.05. 	3 Tage
2003 	19.05. 	0 Tage 	24.05. 	1 Tag
2002 	21.05. 	2 Tage 	24.05. 	1 Tag
2001 	23.05. 	4 Tage 	26.05. 	3 Tage
