Jahr 	Mittel 45 % 	Abweichung 45 % 	Mittel 100 % 	Abweichung 100 %
2025 	05.06. 	4 Tage 	  	 
2024 	26.05. 	-6 Tage 	06.06. 	-4 Tage
2023 	02.06. 	1 Tag 	12.06. 	2 Tage
2022 	29.05. 	-3 Tage 	09.06. 	-1 Tag
2021 	10.06. 	9 Tage 	19.06. 	9 Tage
2020 	31.05. 	-1 Tag 	10.06. 	0 Tage
2019 	03.06. 	2 Tage 	11.06. 	1 Tag
2018 	25.05. 	-7 Tage 	03.06. 	-7 Tage
2017 	05.06. 	4 Tage 	12.06. 	2 Tage
2016 	02.06. 	1 Tag 	11.06. 	1 Tag
2015 	30.05. 	-2 Tage 	10.06. 	0 Tage
2014 	29.05. 	-3 Tage 	06.06. 	-4 Tage
2013 	11.06. 	10 Tage 	18.06. 	8 Tage
2012 	29.05. 	-3 Tage 	07.06. 	-3 Tage
2011 	26.05. 	-6 Tage 	05.06. 	-5 Tage
2010 	09.06. 	8 Tage 	17.06. 	7 Tage
2009 	28.05. 	-4 Tage 	05.06. 	-5 Tage
2008 	01.06. 	0 Tage 	09.06. 	-1 Tag
2007 	23.05. 	-9 Tage 	01.06. 	-9 Tage
2006 	08.06. 	7 Tage 	17.06. 	7 Tage
2005 	04.06. 	3 Tage 	13.06. 	3 Tage
